peak_utc,peak_counts,class_like
2024-05-15 14:55:39,28.9,B/A
2024-05-15 14:57:46,27.7,B/A
2024-05-15 14:59:48,29.3,B/A
2024-05-15 15:02:51,29.2,B/A
2024-05-15 15:05:27,29.1,B/A
2024-05-15 15:08:06,28.2,B/A
2024-05-15 15:10:32,31.1,B/A
2024-05-15 15:13:01,28.5,B/A
2024-05-15 15:15:12,29.2,B/A
2024-05-15 15:17:36,28.2,B/A
2024-05-15 15:19:39,29.3,B/A
2024-05-15 15:21:45,29.4,B/A
2024-05-15 15:24:31,29.1,B/A
2024-05-15 15:26:58,29.9,B/A
2024-05-15 15:29:03,28.0,B/A
2024-05-15 15:31:11,29.5,B/A
2024-05-15 15:33:23,30.0,B/A
2024-05-15 15:35:27,29.7,B/A
2024-05-15 15:37:34,29.5,B/A
2024-05-15 15:39:35,28.2,B/A
2024-05-15 15:42:55,30.1,B/A
2024-05-15 15:45:18,29.7,B/A
2024-05-15 15:47:21,29.1,B/A
2024-05-15 15:49:51,28.5,B/A
2024-05-15 15:51:55,32.8,B/A
2024-05-15 15:58:46,28.1,B/A
2024-05-15 16:01:16,29.1,B/A
2024-05-15 16:04:04,29.4,B/A
2024-05-15 16:06:56,30.4,B/A
2024-05-15 16:09:20,30.3,B/A
2024-05-15 16:11:36,27.5,B/A
2024-05-15 16:13:56,29.6,B/A
2024-05-15 16:16:03,32.0,B/A
2024-05-15 16:18:46,34.3,B/A
2024-05-15 16:21:17,30.3,B/A
2024-05-15 16:23:53,27.6,B/A
2024-05-15 16:25:57,27.3,B/A
2024-05-15 16:28:27,29.4,B/A
2024-05-15 16:32:00,28.2,B/A
2024-05-15 16:34:18,28.5,B/A
2024-05-15 16:36:55,29.8,B/A
2024-05-15 16:39:05,28.1,B/A
2024-05-15 16:41:44,27.9,B/A
2024-05-15 16:43:52,30.2,B/A
2024-05-15 16:46:23,28.6,B/A
2024-05-15 16:48:50,29.0,B/A
2024-05-15 16:52:17,27.5,B/A
2024-05-15 16:54:23,865.9,B/A
2024-05-15 16:57:12,865.9,B/A
2024-05-15 17:04:41,57.0,B/A
2024-05-15 17:09:31,39.7,B/A
2024-05-15 17:11:38,36.1,B/A
2024-05-15 17:13:48,34.1,B/A
2024-05-15 17:16:19,32.5,B/A
2024-05-15 17:19:13,30.3,B/A
2024-05-15 17:22:13,28.9,B/A
2024-05-15 17:25:41,28.3,B/A
2024-05-15 17:29:15,27.5,B/A
2024-05-15 17:31:17,27.9,B/A
2024-05-15 17:34:14,28.0,B/A
2024-05-15 17:36:46,29.4,B/A
2024-05-15 17:39:25,29.7,B/A
2024-05-15 17:41:37,32.0,B/A
2024-05-15 17:43:40,30.1,B/A
2024-05-15 17:48:41,27.8,B/A
2024-05-15 17:50:53,29.0,B/A
2024-05-15 17:53:05,27.9,B/A
2024-05-15 17:56:22,29.7,B/A
2024-05-15 17:58:35,28.3,B/A
2024-05-15 18:00:46,33.0,B/A
2024-05-15 18:03:51,30.5,B/A
2024-05-15 18:06:25,28.2,B/A
2024-05-15 18:10:14,31.1,B/A
2024-05-15 18:13:09,30.6,B/A
2024-05-15 18:15:44,29.0,B/A
2024-05-15 18:17:58,27.2,B/A
2024-05-15 18:21:48,28.4,B/A
2024-05-15 18:25:44,29.0,B/A
2024-05-15 18:27:56,28.9,B/A
2024-05-15 18:29:57,30.3,B/A
2024-05-15 18:32:09,29.8,B/A
2024-05-15 18:34:25,29.9,B/A
2024-05-15 18:37:07,29.5,B/A
2024-05-15 18:39:22,27.9,B/A
2024-05-15 18:41:52,31.2,B/A
2024-05-15 18:44:03,30.9,B/A
2024-05-15 18:46:25,27.2,B/A
2024-05-15 18:48:48,30.6,B/A
2024-05-15 18:50:52,30.1,B/A
2024-05-15 18:53:11,30.2,B/A
2024-05-15 18:55:39,31.5,B/A
2024-05-15 18:57:47,31.4,B/A
2024-05-15 19:00:10,29.9,B/A
2024-05-15 19:02:56,30.5,B/A
2024-05-15 19:05:48,27.9,B/A
2024-05-15 19:07:52,29.8,B/A
2024-05-15 19:12:19,29.2,B/A
2024-05-15 19:14:26,29.1,B/A
2024-05-15 19:17:00,28.7,B/A
2024-05-15 19:19:32,29.8,B/A
2024-05-15 19:21:49,29.5,B/A
2024-05-15 19:24:38,28.4,B/A
2024-05-15 19:26:41,29.8,B/A
2024-05-15 19:29:09,29.3,B/A
2024-05-15 19:33:02,30.5,B/A
2024-05-15 19:35:05,29.8,B/A
2024-05-15 19:37:20,29.4,B/A
2024-05-15 19:41:21,28.5,B/A
2024-05-15 19:43:53,31.6,B/A
2024-05-15 19:46:31,30.4,B/A
2024-05-15 19:48:36,27.5,B/A
2024-05-15 19:50:51,28.1,B/A
2024-05-15 19:52:55,28.4,B/A
2024-05-15 19:56:07,29.9,B/A
2024-05-15 19:58:08,28.9,B/A
2024-05-15 20:00:48,32.9,B/A
2024-05-15 20:03:29,30.3,B/A
2024-05-15 20:05:38,27.4,B/A
2024-05-15 20:08:23,28.8,B/A
2024-05-15 20:10:32,30.3,B/A
2024-05-15 20:13:08,31.4,B/A
2024-05-15 20:15:21,32.4,B/A
2024-05-15 20:18:32,29.9,B/A
2024-05-15 20:21:58,28.9,B/A
2024-05-15 20:24:38,31.0,B/A
2024-05-15 20:27:00,29.0,B/A
